game_id,created_at,color,result,player_rating,opponent_rating,opponent_name,variant,speed,rated,status,rating_diff
kAdOQKeh,2026-04-08 19:39:03.033,Black,Win,3145,2644.0,respects_55,standard,blitz,True,resign,501.0
xKWdG1d1,2026-04-08 19:36:17.600,White,Win,3131,2752.0,Sharkfang,standard,blitz,True,resign,379.0
SnXhGC57,2026-03-17 23:23:07.111,Black,Win,3238,3029.0,PseudoBenko,standard,bullet,True,mate,209.0
nrmBGiQF,2026-03-17 23:21:55.738,White,Win,3232,3032.0,PseudoBenko,standard,bullet,True,mate,200.0
VOqkxbKK,2026-03-17 23:20:34.732,Black,Win,3226,3035.0,PseudoBenko,standard,bullet,True,mate,191.0
haRbNEM1,2026-03-17 23:19:39.475,White,Win,3219,3038.0,PseudoBenko,standard,bullet,True,resign,181.0
SNG5EiHV,2026-03-17 23:18:37.521,Black,Win,3212,3041.0,PseudoBenko,standard,bullet,True,mate,171.0
ItgC9JQz,2026-03-17 23:16:30.929,White,Loss,3232,3032.0,PseudoBenko,standard,bullet,True,outoftime,200.0
uG80HxaK,2026-03-17 23:14:38.525,Black,Win,3225,3035.0,PseudoBenko,standard,bullet,True,resign,190.0
8vvzLvgP,2026-03-17 23:13:12.767,White,Loss,3247,3026.0,PseudoBenko,standard,bullet,True,resign,221.0
QvJtZdDG,2026-03-17 23:11:37.196,Black,Win,3240,3029.0,PseudoBenko,standard,bullet,True,resign,211.0
Jhes4kvM,2026-03-17 23:09:47.189,White,Loss,3264,3020.0,PseudoBenko,standard,bullet,True,resign,244.0
hQh8KffH,2026-03-17 23:08:39.911,Black,Win,3257,3023.0,PseudoBenko,standard,bullet,True,resign,234.0
Bz3c7N7D,2026-03-17 23:06:40.421,White,Loss,3284,3013.0,PseudoBenko,standard,bullet,True,resign,271.0
G3tGP3Qv,2026-03-17 23:05:19.381,Black,Win,3277,3015.0,PseudoBenko,standard,bullet,True,mate,262.0
1fLwz7QO,2026-03-17 23:03:14.582,White,Draw,3289,3012.0,PseudoBenko,standard,bullet,True,draw,277.0
K30CV7h1,2026-03-17 23:02:27.225,Black,Win,3282,3014.0,PseudoBenko,standard,bullet,True,resign,268.0
zO5ZaqI6,2026-03-17 23:00:54.345,White,Win,3276,3016.0,PseudoBenko,standard,bullet,True,resign,260.0
zUxV8GLr,2026-01-19 10:22:57.307,White,Win,3268,3099.0,indianstar,standard,bullet,True,resign,169.0
UEHX6oFD,2026-01-19 10:20:36.562,Black,Draw,3275,3097.0,indianstar,standard,bullet,True,draw,178.0
JrfNbeoz,2026-01-19 10:19:31.032,White,Win,3266,3100.0,indianstar,standard,bullet,True,resign,166.0
fMIf8O0H,2026-01-19 10:19:00.241,Black,Win,3256,3103.0,indianstar,standard,bullet,True,resign,153.0
qqcAlGZe,2026-01-19 10:16:53.033,White,Win,3246,3107.0,indianstar,standard,bullet,True,resign,139.0
OK63uLhA,2026-01-19 10:15:08.206,Black,Win,3233,3111.0,indianstar,standard,bullet,True,mate,122.0
EOwvdMyl,2025-11-25 14:41:55.857,Black,Win,3225,3015.0,Lorenpf08,standard,bullet,True,mate,210.0
T0hqqeXL,2025-11-25 14:41:16.006,White,Win,3218,3018.0,Lorenpf08,standard,bullet,True,resign,200.0
U7vJv1HU,2025-05-24 20:59:28.392,Black,Loss,3226,3109.0,chess-art-us,standard,bullet,True,resign,117.0
oPMO817E,2025-05-24 20:58:30.483,White,Loss,3234,3072.0,Katarina0TP,standard,bullet,True,resign,162.0
